ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
008476.OF,招商民安增益C,招商基金,中国民生银行,债券型,20200306,,,20200212,,2.269,0.8,0.15,,1.0,0.0001,,中债综合指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,,O
009008.OF,平安科技创新A,平安基金,平安银行,混合型,20200306,,,20200303,,7.9166,1.5,0.25,,1.0,0.01,,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*20%+恒生指数收益率(经汇率估值调整)*15%,L,混合型,契约型开放式,,,,O
008936.OF,中银产业债C,中银基金,中国工商银行,债券型,20200306,,,20200306,,,0.6,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20200306,20200306,O
009009.OF,平安科技创新C,平安基金,平安银行,混合型,20200306,,,20200303,,1.9899,1.5,0.25,,1.0,0.01,,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*20%+恒生指数收益率(经汇率估值调整)*15%,L,混合型,契约型开放式,,,,O
163827.OF,中银产业债A,中银基金,中国工商银行,债券型,20200306,,,20200306,,,0.6,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20200306,20200306,O
159978.OF,建信沪港深粤港澳大湾区ETF,建信基金,招商银行,股票型,20200306,,,20200120,,8.6692,0.3,0.1,,1.0,0.1,,中证沪港深粤港澳大湾区发展主题指数,L,被动指数型,契约型开放式,,,,O
008958.OF,嘉实回报精选,嘉实基金,中国银行,股票型,20200306,,,20200224,,58.8838,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+恒生指数收益率*20%(人民币计价)+中债综合财富指数收益率*10%,L,股票型,契约型开放式,,,,O
007566.OF,中银宁享,中银基金,南京银行,债券型,20200306,,,20191205,,10.1026,0.3,0.1,,1.0,0.001,,中债综合财富(总值)指数收益率*95%+金融机构人民币活期存款基准利率(税后)*5%,L,债券型,契约型开放式,,,,O
008475.OF,招商民安增益A,招商基金,中国民生银行,债券型,20200306,,,20200212,,5.6143,0.8,0.15,,1.0,0.0001,,中债综合指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,,O
008523.OF,安信丰泽39个月定开债,安信基金,浦发银行,债券型,20200305,,,20191217,,10.0009,0.15,0.05,,1.0,0.0001,,金融机构三年期定期存款利率(税后)+1%,L,债券型,契约型开放式,,,,O
009004.OF,海富通中证500增强C,海富通基金,中国建设银行,股票型,20200305,,,,,,0.8,0.2,,1.0,,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20200305,20200305,O
008167.OF,工银瑞信消费行业C,工银瑞信基金,中国农业银行,股票型,20200305,,,20200210,,2.898,1.5,0.25,,1.0,0.0001,,中证内地消费主题指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*10%,L,股票型,契约型开放式,,,,O
008531.OF,惠升惠民A,惠升基金,兴业银行,混合型,20200305,,,20200203,,5.6215,1.5,0.15,,1.0,0.001,,中证800指数收益率*70%+中证港股通综合指数收益率*15%+中债综合全价指数收益率*15%,L,混合型,契约型开放式,,,,O
008907.OF,汇添富中证国企一带一路ETF联接A,汇添富基金,中国农业银行,股票型,20200305,,,20200123,,17.2582,0.15,0.05,,1.0,0.001,,中证国企一带一路指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
008532.OF,惠升惠民C,惠升基金,兴业银行,混合型,20200305,,,20200203,,3.0125,1.5,0.15,,1.0,0.001,,中证800指数收益率*70%+中证港股通综合指数收益率*15%+中债综合全价指数收益率*15%,L,混合型,契约型开放式,,,,O
008627.OF,南方0-5年江苏城投债C,南方基金,南京银行,债券型,20200305,,,20200108,,,0.15,0.05,,1.0,0.0001,,中债-0-5年中高等级江苏省城投类债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
008530.OF,汇安信利C,汇安基金,中信银行,债券型,20200305,,,20200203,,3.2235,0.7,0.1,,1.0,0.0001,,中债综合指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,,O
008529.OF,汇安信利A,汇安基金,中信银行,债券型,20200305,,,20200203,,3.3508,0.7,0.1,,1.0,0.0001,,中债综合指数收益率*90%+沪深300指数收益率*10%,L,债券型,契约型开放式,,,,O
008539.OF,工银开元利率债A,工银瑞信基金,邮储银行,债券型,20200305,,,20191223,,9.9874,0.3,0.1,,1.0,0.0001,,中债总财富(总值)指数收益率*100%,L,债券型,契约型开放式,,,,O
008690.OF,平安增利六个月定开债A,平安基金,中国光大银行,债券型,20200305,,,20200224,,11.3097,0.3,0.1,,1.0,0.01,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
008540.OF,工银开元利率债C,工银瑞信基金,邮储银行,债券型,20200305,,,20191223,,0.014,0.3,0.1,,1.0,0.0001,,中债总财富(总值)指数收益率*100%,L,债券型,契约型开放式,,,,O
008691.OF,平安增利六个月定开债C,平安基金,中国光大银行,债券型,20200305,,,20200224,,0.7417,0.3,0.1,,1.0,500.0,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
008692.OF,平安增利六个月定开债E,平安基金,中国光大银行,债券型,20200305,,,20200224,,14.5607,0.3,0.1,,1.0,,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
008211.OF,银华永盛,银华基金,南京银行,债券型,20200305,,,20200227,,9.9009,0.3,0.1,,1.0,0.001,,中债综合指数(全价)收益率,L,债券型,契约型开放式,,,,O
008798.OF,国金惠安利率债A,国金基金,上海银行,债券型,20200305,,,20200302,,1.9049,0.25,0.05,,1.0,0.01,,中债-总财富(总值)指数收益率*90%+人民币活期存款收益率(税后)*10%,L,债券型,契约型开放式,,,,O
008799.OF,国金惠安利率债C,国金基金,上海银行,债券型,20200305,,,20200302,,0.1042,0.25,0.05,,1.0,0.01,,中债-总财富(总值)指数收益率*90%+人民币活期存款收益率(税后)*10%,L,债券型,契约型开放式,,,,O
008870.OF,大成恒享C,大成基金,北京银行,混合型,20200305,,,20200203,,1.1688,1.0,0.2,,1.0,0.0001,,中证综合债券指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
008869.OF,大成恒享A,大成基金,北京银行,混合型,20200305,,,20200203,,4.4446,1.0,0.2,,1.0,0.0001,,中证综合债券指数收益率*75%+沪深300指数收益率*15%+恒生指数收益率*5%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
008908.OF,汇添富中证国企一带一路ETF联接C,汇添富基金,中国农业银行,股票型,20200305,,,20200123,,0.5651,0.15,0.05,,1.0,0.001,,中证国企一带一路指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
008626.OF,南方0-5年江苏城投债A,南方基金,南京银行,债券型,20200305,,,20200108,,7.8001,0.15,0.05,,1.0,0.0001,,中债-0-5年中高等级江苏省城投类债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
008421.OF,广发招泰C,广发基金,招商银行,混合型,20200305,,,20200217,,2.7053,0.7,0.2,,1.0,0.0001,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,,,O
008513.OF,南方宝丰A,南方基金,中国银行,混合型,20200305,,,20200210,,30.5776,1.0,0.2,,1.0,0.0001,,中债总指数收益率*80%+中证800指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,,,O
008411.OF,博时富信纯债,博时基金,兴业银行,债券型,20200305,,,20191204,,2.0132,0.3,0.1,,1.0,0.001,,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20200309,20200309,O
008979.OF,万家民丰回报一年持有期,万家基金,中国民生银行,混合型,20200305,,,20200225,,10.5017,0.8,0.15,,1.0,0.001,,中债新综合指数(全价)收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,,,O
008514.OF,南方宝丰C,南方基金,中国银行,混合型,20200305,,,20200210,,3.5433,1.0,0.2,,1.0,0.0001,,中债总指数收益率*80%+中证800指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,,,O
008166.OF,工银瑞信消费行业A,工银瑞信基金,中国农业银行,股票型,20200305,,,20200210,,26.7687,1.5,0.25,,1.0,0.0001,,中证内地消费主题指数收益率*70%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*10%,L,股票型,契约型开放式,,,,O
008420.OF,广发招泰A,广发基金,招商银行,混合型,20200305,,,20200217,,3.7166,0.7,0.2,,1.0,0.0001,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,,,O
009014.OF,泓德睿泽,泓德基金,招商银行,混合型,20200304,,,20200228,,49.4117,1.5,0.25,,1.0,0.01,,中证800指数收益率*70%+中国债券综合全价指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,,,O
009005.OF,创金合信鑫祺A,创金合信基金,浙商银行,混合型,20200304,,,20200220,,2.001,0.8,0.1,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
159804.OF,国寿安保国证创业板中盘精选88ETF,国寿安保基金,中信证券,股票型,20200304,,,20200219,,3.499,0.3,0.1,,1.0,0.1,,国证创业板中盘精选88指数,L,被动指数型,契约型开放式,,,,O
008793.OF,博道嘉元A,博道基金,交通银行,混合型,20200304,,,20200224,,18.3366,1.5,0.2,,1.0,0.001,,沪深300指数收益率*60%+中债综合全价(总值)指数收益率*40%,L,灵活配置型,契约型开放式,,,,O
008794.OF,博道嘉元C,博道基金,交通银行,混合型,20200304,,,20200224,,0.6004,1.5,0.2,,1.0,0.001,,沪深300指数收益率*60%+中债综合全价(总值)指数收益率*40%,L,灵活配置型,契约型开放式,,,,O
009099.OF,新华壹诺宝E,新华基金,中国建设银行,货币市场型,20200304,,,,,,0.33,0.1,,1.0,,,人民币七天通知存款利率(税后),L,货币型,契约型开放式,,20200304,20200304,O
009104.OF,新华纯债添利B,新华基金,中国工商银行,债券型,20200304,,,,,,0.6,0.2,,1.0,,,中债新综合指数(全价),L,债券型,契约型开放式,,20200304,20200304,O
009006.OF,创金合信鑫祺C,创金合信基金,浙商银行,混合型,20200304,,,20200220,,0.0,0.8,0.1,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,,,O
008973.OF,大成中华沪深港300C,大成基金,中国农业银行,股票型,20200303,,,,,,0.5,0.1,,1.0,,,中华交易服务沪深港300指数(人民币)收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
690012.OF,民生加银丰鑫,民生加银基金,中国建设银行,债券型,20200303,,,20200303,,,0.27,0.08,,1.0,,,中国债券综合指数收益率,L,债券型,契约型开放式,,20200304,20200304,O
550012.OF,中信保诚景华A,中信保诚基金,中国银行,债券型,20200303,,,20200303,,,0.3,0.1,,1.0,,,中证综合债指数收益率,L,债券型,契约型开放式,,20200305,20200310,O
550013.OF,中信保诚景华C,中信保诚基金,中国银行,债券型,20200303,,,20200303,,,0.3,0.1,,1.0,,,中证综合债指数收益率,L,债券型,契约型开放式,,20200305,20200310,O
008972.OF,大成恒生综合C,大成基金,中国农业银行,股票型,20200303,,,,,,1.0,0.25,,1.0,,,恒生综合中小型股指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
008297.OF,广发价值优势,广发基金,中国工商银行,混合型,20200302,,,20200227,,98.2064,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证全债指数收益率*35%,L,混合型,契约型开放式,,,,O
000808.OF,招商招利1个月A,招商基金,中国农业银行,债券型,20200228,,,20200228,,,0.3,0.08,,1.0,,,中国人民银行公告的金融机构人民币七天通知存款基准利率(税后),L,债券型,契约型开放式,,,,O
008688.OF,大成景乐纯债A,大成基金,中国工商银行,债券型,20200228,,,20200213,,2.8007,0.7,0.2,,1.0,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
008896.OF,兴业鼎泰一年定开债,兴业基金,浦发银行,债券型,20200228,,,20200226,,10.1,0.3,0.1,,1.0,,,中国债券综合全价指数收益率,L,债券型,契约型开放式,,,,O
008689.OF,大成景乐纯债C,大成基金,中国工商银行,债券型,20200228,,,20200213,,0.9794,0.7,0.2,,1.0,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
007719.OF,永赢元利A,永赢基金,交通银行,债券型,20200228,,,20191202,,2.0008,0.3,0.1,,1.0,0.001,,中债-综合指数(全价)收益率,L,债券型,契约型开放式,,,,O
001693.OF,招商招利1个月C,招商基金,中国农业银行,债券型,20200228,,,20200228,,,0.3,0.08,,1.0,,,中国人民银行公告的金融机构人民币七天通知存款基准利率(税后),L,债券型,契约型开放式,,,,O
008716.OF,鹏华优质回报两年定开,鹏华基金,中国工商银行,混合型,20200228,,,20200213,,17.4278,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(经汇率调整后)*20%+中证综合债指数收益率*20%,L,混合型,契约型开放式,,,,O
000809.OF,招商招利1个月B,招商基金,中国农业银行,债券型,20200228,,,20200228,,,0.3,0.08,,1.0,,,中国人民银行公告的金融机构人民币七天通知存款基准利率(税后),L,债券型,契约型开放式,,,,O
515630.OF,鹏华中证800证券保险ETF,鹏华基金,中国建设银行,股票型,20200228,,,20200113,,6.8572,0.5,0.1,,1.0,0.1,,中证800证券保险指数收益率,L,被动指数型,契约型开放式,,,,O
007720.OF,永赢元利C,永赢基金,交通银行,债券型,20200228,,,20191202,,0.0002,0.3,0.1,,1.0,0.001,,中债-综合指数(全价)收益率,L,债券型,契约型开放式,,,,O
008761.OF,南方骏元中短期利率债,南方基金,兴业银行,债券型,20200227,,,20200107,,2.2115,0.3,0.05,,1.0,0.0001,,中债-固定利率债券全价(1-3年)指数收益率,L,债券型,契约型开放式,,,,O
008851.OF,景顺长城量化对冲策略三个月,景顺长城基金,中国工商银行,混合型,20200227,,,20200212,,28.0395,1.5,0.2,,1.0,0.0001,,中国人民银行公布的同期1年定期存款基准利率(税后)+1%,L,灵活配置型,契约型开放式,,,,O
008955.OF,交银创新领航,交银施罗德基金,招商银行,混合型,20200227,,,20200224,,49.432,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65+中证综合债券指数收益率*30%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
008807.OF,鹏扬淳悦一年定开债,鹏扬基金,浦发银行,债券型,20200227,,,20200224,,10.1,0.3,0.1,,1.0,,,中债综合财富(总值)指数收益率,L,债券型,契约型开放式,,,,O
007755.OF,上银慧永利中短期C,上银基金,交通银行,债券型,20200227,,,20191225,,0.0018,0.3,0.1,,1.0,0.001,,中债综合财富(1-3年)指数收益率,L,债券型,契约型开放式,,,,O
008747.OF,大成景泰A,大成基金,中国民生银行,债券型,20200227,,,20200120,,1.4441,0.7,0.2,,1.0,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
008951.OF,鹏华尊裕一年定开债,鹏华基金,浦发银行,债券型,20200227,,,20200225,,10.0,0.3,0.1,,1.0,,,中证综合债指数收益率,L,债券型,契约型开放式,,,,O
007754.OF,上银慧永利中短期A,上银基金,交通银行,债券型,20200227,,,20191225,,2.1981,0.3,0.1,,1.0,0.001,,中债综合财富(1-3年)指数收益率,L,债券型,契约型开放式,,,,O
008968.OF,申万菱信安泰鼎利一年定开债,申万菱信基金,中信银行,债券型,20200227,,,20200217,,3.1003,0.3,0.1,,1.0,,,中国债券总指数(全价)收益率,L,债券型,契约型开放式,,,,O
159996.OF,国泰中证全指家电ETF,国泰基金,浦发银行,股票型,20200227,,,20200210,,9.3255,0.5,0.1,,1.0,0.1,,中证全指家用电器指数收益率,L,被动指数型,契约型开放式,,,,O
007694.OF,泰达养老2040三年C,泰达宏利基金,中国工商银行,混合型,20200227,,,20191231,,0.0147,0.9,0.15,,1.0,0.0001,,沪深300指数收益率*55%+中证综合债指数收益率*45%,L,混合型,契约型开放式,,,,O
008175.OF,国泰蓝筹精选C,国泰基金,中国建设银行,混合型,20200227,,,20200224,,0.1231,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
159997.OF,天弘中证电子ETF,天弘基金,海通证券,股票型,20200227,,,20200210,,11.5431,0.5,0.1,,1.0,0.1,,中证电子指数,L,被动指数型,契约型开放式,,,,O
007695.OF,泰达养老2040三年E,泰达宏利基金,中国工商银行,混合型,20200227,,,20191231,,0.0018,0.9,0.15,,1.0,0.0001,,沪深300指数收益率*55%+中证综合债指数收益率*45%,L,混合型,契约型开放式,,,,O
008174.OF,国泰蓝筹精选A,国泰基金,中国建设银行,混合型,20200227,,,20200224,,47.4392,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中债综合指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
008980.OF,中邮科技创新精选A,中邮基金,兴业银行,混合型,20200227,,,20200220,,5.9621,1.0,0.2,,1.0,0.1,,中国战略新兴产业成份指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,,,O
008133.OF,华安优质生活,华安基金,中国银行,混合型,20200227,,,20200120,,57.538,1.5,0.25,,1.0,0.0001,,中证主要消费指数收益率*35%+中证可选消费指数收益率*35%+中债综合指数收益率*20%+恒生消费品制造及服务业指数收益率(经汇率调整)*10%,L,混合型,契约型开放式,,,,O
008748.OF,大成景泰C,大成基金,中国民生银行,债券型,20200227,,,20200120,,2.3983,0.7,0.2,,1.0,0.0001,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
007688.OF,泰达养老2040三年A,泰达宏利基金,中国工商银行,混合型,20200227,,,20191231,,0.1169,0.9,0.15,,1.0,0.0001,,沪深300指数收益率*55%+中证综合债指数收益率*45%,L,混合型,契约型开放式,,,,O
008510.OF,南方鼎利一年定开债,南方基金,招商银行,债券型,20200227,,,20200217,,9.1,0.3,0.1,,1.0,,,中债信用债总指数收益率,L,债券型,契约型开放式,,,,O
008981.OF,中邮科技创新精选C,中邮基金,兴业银行,混合型,20200227,,,20200220,,3.9775,1.0,0.2,,1.0,0.1,,中国战略新兴产业成份指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,,,O
008910.OF,创金合信鑫益C,创金合信基金,宁波银行,混合型,20200226,,,20200113,,0.0359,0.8,0.1,,1.0,0.001,,沪深300指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,,,O
008399.OF,华泰柏瑞中证科技100联接A,华泰柏瑞基金,中信证券,股票型,20200226,,,20200217,,11.9002,0.5,0.1,,1.0,0.001,,中证科技100指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
008954.OF,安信价值回报三年,安信基金,招商银行,混合型,20200226,,,20200220,,26.0252,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*65%+中债综合指数收益率*30%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
008511.OF,宝盈鸿盛A,宝盈基金,中国银行,债券型,20200226,,,20200120,,9.7129,0.6,0.15,,1.0,0.001,,中证全债指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
008512.OF,宝盈鸿盛C,宝盈基金,中国银行,债券型,20200226,,,20200120,,0.1856,0.6,0.15,,1.0,0.001,,中证全债指数收益率*90%+1年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
008941.OF,华泰紫金周周购3个月A,华泰证券资管,招商银行,债券型,20200226,,,20200220,,1.4105,0.5,0.1,,1.0,0.01,,中债综合财富(总值)指数收益率*95%+沪深300指数收益率*5%,L,债券型,契约型开放式,,,,O
008982.OF,华泰紫金智鑫3个月定开,华泰证券资管,江苏银行,债券型,20200226,,,20200217,,10.1004,0.3,0.1,,1.0,,,中债综合指数收益率,L,债券型,契约型开放式,,,,O
008942.OF,华泰紫金周周购3个月C,华泰证券资管,招商银行,债券型,20200226,,,20200220,,8.7841,0.5,0.1,,1.0,0.01,,中债综合财富(总值)指数收益率*95%+沪深300指数收益率*5%,L,债券型,契约型开放式,,,,O
008745.OF,南方尊利一年定开债,南方基金,浦发银行,债券型,20200226,,,20200106,,10.0,0.3,0.1,,1.0,,,中债信用债总指数收益率,L,债券型,契约型开放式,,,,O
008909.OF,创金合信鑫益A,创金合信基金,宁波银行,混合型,20200226,,,20200113,,2.0312,0.8,0.1,,1.0,0.001,,沪深300指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,,,O
008400.OF,华泰柏瑞中证科技100联接C,华泰柏瑞基金,中信证券,股票型,20200226,,,20200217,,0.9665,0.5,0.1,,1.0,0.001,,中证科技100指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
159983.OF,华夏粤港澳大湾区创新100ETF,华夏基金,招商银行,股票型,20200225,,,20200204,,4.3675,0.3,0.1,,1.0,0.1,,粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,,,,O
008836.OF,富国量化对冲策略三个月C,富国基金,中国银行,混合型,20200225,,,20200203,,12.1967,0.8,0.2,,1.0,0.001,,中国人民银行公布的同期一年期定期存款基准利率(税后)+3%,L,灵活配置型,契约型开放式,,,,O
008990.OF,东方红匠心甄选一年持有,东证资管,中国建设银行,混合型,20200225,,,20200219,,29.7843,0.7,0.2,,1.0,0.001,,中债综合指数收益率*90%+沪深300指数收益率*8%+恒生指数收益率*2%,L,混合型,契约型开放式,,,,O
008835.OF,富国量化对冲策略三个月A,富国基金,中国银行,混合型,20200225,,,20200203,,17.7115,0.8,0.2,,1.0,0.001,,中国人民银行公布的同期一年期定期存款基准利率(税后)+3%,L,灵活配置型,契约型开放式,,,,O
009001.OF,长城泰利纯债A,长城基金,上海银行,债券型,20200225,,,20200217,,2.7002,0.3,0.1,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20200303,20200303,O
009002.OF,长城泰利纯债C,长城基金,上海银行,债券型,20200225,,,20200217,,0.3,0.3,0.1,,1.0,0.001,,中债综合全价指数收益率,L,债券型,契约型开放式,,20200303,20200303,O
008575.OF,财通裕惠63个月定开债,财通基金,浦发银行,债券型,20200225,,,20200219,,40.1,0.15,0.05,,1.0,0.0001,,三年期定期存款利率(税后)+1.5%,L,债券型,契约型开放式,,,,O
008286.OF,易方达研究精选,易方达基金,中国工商银行,股票型,20200221,,,20200219,,165.8939,1.5,0.25,,1.0,0.0001,,MSCI中国A股指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,L,股票型,契约型开放式,,,,O
008960.OF,长信国防军工C,长信基金,中国建设银行,混合型,20200221,,,,,,1.5,0.25,,1.0,,,申万国防军工指数收益率*60%+中证综合债指数收益率*40%,L,灵活配置型,契约型开放式,,20200221,20200221,O
008855.OF,南方内需增长两年持有C,南方基金,中国工商银行,股票型,20200221,,,20200206,,8.8473,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+中债总指数收益率*15%,L,股票型,契约型开放式,,,,O
008854.OF,南方内需增长两年持有A,南方基金,中国工商银行,股票型,20200221,,,20200206,,38.9634,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+中债总指数收益率*15%,L,股票型,契约型开放式,,,,O
008969.OF,睿远均衡价值三年A,睿远基金,招商银行,混合型,20200221,,,20200218,,55.784,1.5,0.15,,1.0,0.001,,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,,,O
008970.OF,睿远均衡价值三年C,睿远基金,招商银行,混合型,20200221,,,20200218,,3.8613,1.5,0.15,,1.0,0.001,,沪深300指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,,,O
501092.OF,交银施罗德瑞思三年,交银施罗德基金,中国农业银行,混合型,20200221,,,20200217,,49.4585,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债券指数收益率*25%+恒生指数收益率*5%,L,偏股混合型,契约型开放式,,,,O
